SA2_code,y.kidney.male,sd.kidney.male,y.kidney.female,sd.kidney.female,y.kidney.persons,sd.kidney.persons
11167,-0.105360516,0.107000271,0,0.14549946,-0.072570693,0.099381799
11168,-0.174353387,0.128221647,-0.040821995,0.177707497,-0.15082289,0.120918666
11169,-0.139262067,0.124296981,-0.010050336,0.162007671,-0.105360516,0.120606519
11170,-0.139262067,0.091062643,-0.030459207,0.121159886,-0.105360516,0.078648306
11171,-0.210721031,0.156138373,-0.061875404,0.210475651,-0.198450939,0.149878122
11172,0.029558802,0.106866377,-0.010050336,0.146776568,0.019802627,0.099647323
11173,0.067658648,0.126098006,-0.061875404,0.169338031,0.029558802,0.114838478
11174,0.029558802,0.110867998,-0.051293294,0.148117446,0,0.10145452
11175,0.039220713,0.085608906,-0.020202707,0.115926978,0.029558802,0.077940181
11176,0.131028262,0.133170319,0.029558802,0.174492222,0.131028262,0.115635807
