SA2_code,y.liver.male,sd.liver.male,y.liver.female,sd.liver.female,y.liver.persons,sd.liver.persons
21139,0.47000362924573563,0.19829489275090972,0.16551443847757333,0.20686995311641046,0.4054651081081644,0.17890656714957617
21140,0.5306282510621704,0.19266852505853083,0.3920420877760237,0.2137184328777067,0.5822156198526637,0.16840157684895546
21141,0.7030975114131134,0.19321819333602808,0.25464221837358075,0.21859929914941995,0.636576829071551,0.17818365584245632
21142,0.5822156198526637,0.18849094686672585,0.3576744442718159,0.21042539664502952,0.6097655716208943,0.17246113638399582
21143,0.494696241836107,0.17033447741328636,0.25464221837358075,0.19486459729488279,0.4382549309311553,0.1525046607375328
21144,0.5128236264286637,0.14982257114198202,0.3220834991691132,0.1867607854935142,0.5423242908253617,0.13477121175591164
21145,0.4574248470388755,0.15953233400877462,0.19885085874516517,0.17819926008394002,0.412109650826833,0.14593115879803636
21146,0.2468600779315258,0.2402957730708117,-0.10536051565782628,0.267383086997965,0.11332868530700327,0.218875308937938
21147,0.02955880224154443,0.17799879259117377,0.02955880224154443,0.18837618250807314,0,0.1531145879848664
21148,0.09531017980432493,0.15139383059780548,0.03922071315328133,0.1660318369564428,0.058268908123975824,0.13828308113195126
21149,-0.040821994520255166,0.1814452726328004,-0.030459207484708574,0.19802737334516554,-0.07257069283483537,0.1589732618904772
21150,0.09531017980432493,0.17497181179940324,-0.09431067947124129,0.18976653881098002,0,0.1454994603232972
21151,0.16551443847757333,0.17105145379332443,0.16551443847757333,0.1952076377714869,0.17395330712343798,0.15422493462904782
