SA2_code,y.brain.male,sd.brain.male,y.brain.female,sd.brain.female,y.brain.persons,sd.brain.persons
31214,-0.020202707317519466,0.11176202350136971,-0.05129329438755058,0.09302120244589519,-0.06187540371808753,0.08019672628694513
31215,-0.01005033585350145,0.11074719654991204,-0.05129329438755058,0.1018945405641958,-0.05129329438755058,0.07479769091422221
31216,-0.020202707317519466,0.1033287061793235,-0.05129329438755058,0.08852598322030597,-0.05129329438755058,0.06543588547126479
31217,-0.01005033585350145,0.10238300788885263,-0.040821994520255166,0.09213466168133358,-0.05129329438755058,0.07479769091422221
31218,0,0.09725528551461719,-0.040821994520255166,0.08318348328801238,-0.05129329438755058,0.07479769091422221
31219,-0.020202707317519466,0.09041145720774703,-0.040821994520255166,0.08318348328801238,-0.05129329438755058,0.06543588547126479
31220,-0.030459207484708574,0.08684752543870776,-0.040821994520255166,0.07864830603431554,-0.05129329438755058,0.06068976676600278
31221,-0.020202707317519466,0.18197701221363896,-0.040821994520255166,0.16247639342782383,-0.05129329438755058,0.127624567924855
31222,-0.05129329438755058,0.14408419150558022,-0.05129329438755058,0.12342533367153076,-0.07257069283483537,0.09938179875463495
31223,0.058268908123975824,0.13828308113195126,-0.040821994520255166,0.11384875067051518,-0.020202707317519466,0.09041145720774703
31224,-0.030459207484708574,0.09564436545631289,-0.05129329438755058,0.08852598322030597,-0.05129329438755058,0.07013826052479745
31225,0,0.093021202445895207,-0.06187540371808753,0.08938984133933205,-0.030459207484708574,0.0641680547393028
31226,0.01980262729617973,0.1037453693969541,-0.06187540371808753,0.09842023781861813,-0.030459207484708574,0.06878531775966909
31227,-0.020202707317519466,0.11176202350136971,-0.06187540371808753,0.10287619698635009,-0.05129329438755058,0.07941495393458849
31228,0.009950330853168092,0.104674004471315,-0.06187540371808753,0.09842023781861813,-0.030459207484708574,0.06878531775966909
31229,0,0.10975070388619668,-0.06187540371808753,0.09842023781861813,-0.040821994520255166,0.07407245400229491
31230,0.06765864847381486,0.15505352446870824,-0.08338160893905101,0.1269877792941961,-0.01005033585350145,0.10238300788885263
31231,0.04879016416943205,0.11675590430043241,-0.07257069283483537,0.10833297714795613,-0.01005033585350145,0.08085221478151769
31232,0.03922071315328133,0.11384875067051517,-0.05129329438755058,0.09747716161362714,-0.01005033585350145,0.07643483583094902
31233,0.02955880224154443,0.11086799780101092,-0.05129329438755058,0.10627400163123228,-0.020202707317519466,0.08161461719014189
31234,0.01980262729617973,0.10781076207510557,-0.05129329438755058,0.1018945405641958,-0.020202707317519466,0.07715865802240994
31235,-0.01005033585350145,0.09387940968211196,-0.05129329438755058,0.08852598322030597,-0.040821994520255166,0.06479576059250386
31236,-0.01005033585350145,0.11897647304475062,-0.030459207484708574,0.11279569749661136,-0.030459207484708574,0.0823915662709758
31237,0.02955880224154443,0.11483847761838589,-0.040821994520255166,0.1009315016989387,-0.020202707317519466,0.08161461719014189
31238,-0.01005033585350145,0.10658224214217685,-0.06187540371808753,0.09842023781861813,-0.05129329438755058,0.07479769091422221
31239,0.009950330853168092,0.14803788856998473,-0.05129329438755058,0.14001879882742876,-0.030459207484708574,0.10856161442788936
31240,0.02955880224154443,0.13803356643305803,-0.030459207484708574,0.12529111586819083,-0.01005033585350145,0.09814892482013064
31241,0,0.08444614208039455,-0.05129329438755058,0.07941495393458849,-0.030459207484708574,0.05480624929634539
31242,-0.01005033585350145,0.08957386445462999,-0.040821994520255166,0.07864830603431554,-0.030459207484708574,0.05480624929634539
31243,0.02955880224154443,0.09053845262386821,-0.06187540371808753,0.08481398930731142,-0.020202707317519466,0.058935146490736945
31244,0.03922071315328133,0.10193683026388704,-0.07257069283483537,0.090270769468917475,-0.030459207484708574,0.06878531775966909
31245,0.01980262729617973,0.11184401692567357,-0.07257069283483537,0.09484662150093809,-0.030459207484708574,0.06878531775966909
31246,-0.01005033585350145,0.08957386445462999,-0.05129329438755058,0.0839908059666091,-0.040821994520255166,0.06479576059250386
31247,0,0.12194739819923466,-0.06187540371808753,0.10729357593691875,-0.040821994520255166,0.08318348328801238
31248,0,0.08010395347431873,-0.040821994520255166,0.08318348328801238,-0.030459207484708574,0.05950862434987806
31249,0,0.10145451976794141,-0.05129329438755058,0.09302120244589519,-0.030459207484708574,0.0641680547393028
31250,0.01980262729617973,0.09964732261263559,-0.06187540371808753,0.08938984133933205,-0.030459207484708574,0.0641680547393028
31251,0,0.10975070388619668,-0.05129329438755058,0.09747716161362714,-0.030459207484708574,0.06878531775966909
31252,0.009950330853168092,0.09217858609973552,-0.05129329438755058,0.07941495393458849,-0.030459207484708574,0.05950862434987806
31253,-0.030459207484708574,0.13345455533066083,-0.05129329438755058,0.12342533367153076,-0.05129329438755058,0.09747716161362714
31254,0.01980262729617973,0.10781076207510557,-0.01005033585350145,0.09387940968211196,0,0.07130711345671359
31255,0.009950330853168092,0.09217858609973552,-0.020202707317519466,0.08161461719014189,-0.01005033585350145,0.06294848018393098
31256,-0.020202707317519466,0.09041145720774703,-0.040821994520255166,0.08767870251360162,-0.040821994520255166,0.06479576059250386
31257,0.01980262729617973,0.1158456380792582,-0.030459207484708574,0.09564436545631289,-0.01005033585350145,0.07197887666321708
31258,-0.020202707317519466,0.07715865802240994,-0.030459207484708574,0.07789634704538657,-0.030459207484708574,0.05480624929634539
31259,0.009950330853168092,0.10877205125563351,-0.06187540371808753,0.0939250185930289,-0.040821994520255166,0.06945519098192862
31260,0.03922071315328133,0.11384875067051517,-0.06187540371808753,0.0939250185930289,-0.030459207484708574,0.07789634704538657
31261,0.058268908123975824,0.10413028384873226,-0.07257069283483537,0.08565350644855117,-0.020202707317519466,0.06355240951110323
31262,0,0.10975070388619668,-0.06187540371808753,0.09842023781861813,-0.040821994520255166,0.07864830603431554
31263,-0.030459207484708574,0.09564436545631289,-0.07257069283483537,0.090270769468917475,-0.06187540371808753,0.07083492084398772
31264,-0.020202707317519466,0.10756278924804549,-0.06187540371808753,0.08938984133933205,-0.05129329438755058,0.07013826052479745
31265,0,0.10145451976794141,-0.06187540371808753,0.10287619698635009,-0.040821994520255166,0.06945519098192862
31266,-0.020202707317519466,0.09041145720774703,-0.07257069283483537,0.08099407605912642,-0.05129329438755058,0.06068976676600278
31267,-0.030459207484708574,0.10856161442788936,-0.06187540371808753,0.10287619698635009,-0.05129329438755058,0.07479769091422221
31268,-0.020202707317519466,0.10756278924804549,-0.06187540371808753,0.09842023781861813,-0.05129329438755058,0.07479769091422221
31269,-0.01005033585350145,0.18042859196100935,0,0.1753008695867739,-0.020202707317519466,0.13225490193266295
31270,-0.040821994520255166,0.1009315016989387,-0.040821994520255166,0.10527369030501454,-0.040821994520255166,0.07407245400229491
31271,-0.05129329438755058,0.1018945405641958,-0.01005033585350145,0.10238300788885263,-0.040821994520255166,0.07407245400229491
31272,-0.020202707317519466,0.1159269779091049,0,0.10145451976794141,-0.020202707317519466,0.07715865802240994
31273,-0.040821994520255166,0.1009315016989387,0,0.10145451976794141,-0.030459207484708574,0.07336116979168972
31274,-0.06187540371808753,0.10287619698635009,-0.01005033585350145,0.10238300788885263,-0.040821994520255166,0.07407245400229491
31275,-0.020202707317519466,0.09475364581382285,0,0.093021202445895207,-0.020202707317519466,0.06812826154312385
31276,-0.07257069283483537,0.09938179875463495,-0.01005033585350145,0.08957386445462999,-0.05129329438755058,0.06543588547126479
31277,-0.01005033585350145,0.08085221478151769,-0.01005033585350145,0.07643483583094902,-0.020202707317519466,0.04957334104777952
31278,-0.020202707317519466,0.08161461719014189,0,0.07130711345671359,-0.030459207484708574,0.05480624929634539
31280,-0.030459207484708574,0.08684752543870776,0,0.07572449240728225,-0.030459207484708574,0.05480624929634539
31281,-0.040821994520255166,0.10527369030501454,0,0.09725528551461719,-0.040821994520255166,0.06479576059250386
31282,-0.06187540371808753,0.08019672628694513,-0.020202707317519466,0.07715865802240994,-0.05129329438755058,0.05106298905968502
31283,-0.06187540371808753,0.11167303700395521,-0.030459207484708574,0.1042920992898707,-0.07257069283483537,0.07629170100559375
31284,-0.05129329438755058,0.1018945405641958,-0.030459207484708574,0.08684752543870776,-0.07257069283483537,0.06675489844837307
31285,-0.040821994520255166,0.10527369030501454,-0.020202707317519466,0.09475364581382285,-0.06187540371808753,0.07553729589752038
31286,-0.07257069283483537,0.09938179875463495,-0.030459207484708574,0.09126490438927642,-0.07257069283483537,0.06675489844837307
31287,-0.06187540371808753,0.11167303700395521,-0.040821994520255166,0.1009315016989387,-0.07257069283483537,0.07154558230033174
