SA2_code,y.colorectal.male,sd.colorectal.male,y.colorectal.female,sd.colorectal.female,y.colorectal.persons,sd.colorectal.persons
31248,0.03922071315328133,0.06874111937252891,0.02955880224154443,0.06064347085547387,0.03922071315328133,0.05571392447193464
31249,0.04879016416943205,0.07656157886516997,0.03922071315328133,0.07301063451054758,0.04879016416943205,0.06812826154312375
31250,0.009950330853168092,0.07936944266551288,0.02955880224154443,0.07367066575606815,0.02955880224154443,0.06502293192251035
31251,0.10436001532424286,0.08840393942552893,0.009950330853168092,0.08367498789299484,0.0769610411361284,0.07458291335616396
31252,0.0769610411361284,0.07048486657184545,0.01980262729617973,0.06562111113372117,0.058268908123975824,0.054717107323264035
31253,0.058268908123975824,0.10803991280055325,-0.01005033585350145,0.11074719654991204,0.02955880224154443,0.09053845262386821
31254,0.01980262729617973,0.08715190424105611,0.02955880224154443,0.08637349821613304,0.03922071315328133,0.07301063451054758
31255,0.04879016416943205,0.07236234461184575,0.02955880224154443,0.06936512052858618,0.058268908123975824,0.059022652550746
31256,0.0769610411361284,0.07458291335616396,0.02955880224154443,0.07367066575606815,0.0769610411361284,0.062188682453590195
31257,0.058268908123975824,0.09221836344210414,0.01980262729617973,0.08715190424105611,0.04879016416943205,0.08072653327290515
31258,0.058268908123975824,0.06752625075748667,0.04879016416943205,0.06385874640510507,0.0769610411361284,0.057989448200265976
31259,-0.030459207484708574,0.0823915662709758,0.03922071315328133,0.07724471757926958,0.009950330853168092,0.07064779299240058
31260,-0.01005033585350145,0.08085221478151769,0.02955880224154443,0.08217426396280882,0.009950330853168092,0.07064779299240058
31261,-0.030459207484708574,0.06878531775966909,0.03922071315328133,0.06443557414504694,0,0.05782075780969555
31262,-0.07257069283483537,0.08565350644855117,0.009950330853168092,0.08367498789299484,-0.05129329438755058,0.07013826052479745
31263,0.02955880224154443,0.07367066575606815,0.06765864847381486,0.07109975556658737,0.06765864847381486,0.058501483836805986
31264,0.04879016416943205,0.08072653327290515,0.01980262729617973,0.07434276080683347,0.03922071315328133,0.06874111937252891
31265,0.02955880224154443,0.08217426396280882,0.02955880224154443,0.08217426396280882,0.02955880224154443,0.07367066575606815
31266,0.04879016416943205,0.06812826154312375,0.02955880224154443,0.06502293192251035,0.04879016416943205,0.050831551504510804
31267,0.009950330853168092,0.08794450303101352,0.009950330853168092,0.08367498789299484,0,0.07572449240728225
31268,0.02955880224154443,0.08637349821613304,0.02955880224154443,0.07794018089408683,0.02955880224154443,0.07367066575606815
31269,0.10436001532424286,0.14331754360530716,0.01980262729617973,0.15051434313461934,0.09531017980432493,0.12304186572290202
31270,0.01980262729617973,0.07434276080683347,-0.01005033585350145,0.08085221478151769,0,0.06685115428898164
31271,0.009950330853168092,0.08794450303101352,-0.06187540371808753,0.08481398930731142,-0.040821994520255166,0.07864830603431554
